New_Participant_ID,New_Organization_ID,New_Campaign_ID,Organization_Name,Organization_type_Oficial,Campaign_Name,Campaign_Type_Official,Campaign_Start_Date,Campaign_End_Date,Country,Segment,Engagement_Score,Mes_Nombre,Mes_Numero,Cantidad_Registrados,Cantidad_Asistentes
PAR001,ORG008,CMP157,RED MUJERES+,Community Org,NONPROFIT TECH CLINIC,Tech support,2024-10-29,2024-11-04,Argentina,Youth,68,octubre,10,1,0
PAR013,ORG010,CMP104,TECH POR TODOS,NGO,IMPACT MEASUREMENT 101,Training,2024-04-07,2024-04-11,Argentina,Education,,abril,4,1,1
PAR006,ORG008,CMP088,RED MUJERES+,Community Org,FUNDRAISING ACCELERATOR,Fundraising,2024-08-14,2024-08-23,Mexico,Education,57,agosto,8,1,0
PAR018,ORG002,CMP012,EDU IMPACT,Social Enterprise,AI FOR SOCIAL IMPACT,Webinar,2024-11-13,2024-11-13,Guatemala,Health,78,noviembre,11,1,0
PAR009,ORG001,CMP010,COMUNIDAD DATALATAM,Community Org,AI FOR SOCIAL IMPACT,Webinar,2024-10-16,2024-10-29,Argentina,Education,79,octubre,10,1,0
PAR016,ORG001,CMP119,COMUNIDAD DATALATAM,Community Org,LATAM DATA SUMMIT,Outreach,2024-01-04,2024-01-06,Colombia,Health,69,enero,1,1,0
PAR007,ORG010,CMP148,TECH POR TODOS,NGO,NONPROFIT TECH CLINIC,Tech support,2024-05-25,2024-05-26,Guatemala,Youth,96,mayo,5,1,0
PAR019,ORG004,CMP158,FUNDACIÓN LUZ VERDE,Foundation,NONPROFIT TECH CLINIC,Tech support,2024-10-30,2024-11-08,Mexico,Climate,56,octubre,10,1,0
PAR016,ORG002,CMP135,EDU IMPACT,Social Enterprise,LATAM DATA SUMMIT,Outreach,2024-11-26,2024-11-26,Guatemala,Health,65,noviembre,11,1,1
PAR017,ORG004,CMP182,FUNDACIÓN LUZ VERDE,Foundation,STEAM TEACHERS WORKSHOP,Training,2024-10-12,2024-10-20,Mexico,Climate,,octubre,10,1,0
PAR008,ORG008,CMP030,RED MUJERES+,Community Org,CLIMATE INNOVATION HUB,Outreach,2024-06-03,2024-06-07,Costa Rica,Youth,71,junio,6,1,0
